x_id,estimated_dollar_loss,possible_cause_detail,tfs_alarm_time,possible_cause,month,day_of_week
2357848,12000,52 - Electrical Failure,2018-01-18T22:48:41,Mechanical/Electrical Failure,January,Thursday
2357850,1000,51 - Mechanical Failure,2018-01-19T20:25:29,Mechanical/Electrical Failure,January,Friday
2357851,30000,52 - Electrical Failure,2018-01-19T22:06:18,Mechanical/Electrical Failure,January,Friday
2357863,3000,"28 - Routine maintenance deficiency, eg creosote, lint, grease buildup",2018-03-05T06:12:03,Design/Construction/Maintenance deficiency,March,Monday
2357864,1000,01 - Suspected Arson,2018-03-05T07:41:09,Intentional,March,Monday
2357867,600,"28 - Routine maintenance deficiency, eg creosote, lint, grease buildup",2018-01-02T01:00:09,Design/Construction/Maintenance deficiency,January,Tuesday
2357869,50000,45 - Improperly Discarded,2018-02-20T05:31:24,Misuse of ignition source/material ignited,February,Tuesday
2357870,3000,45 - Improperly Discarded,2018-02-20T08:48:10,Misuse of ignition source/material ignited,February,Tuesday
2357871,30000,52 - Electrical Failure,2018-02-20T19:11:00,Mechanical/Electrical Failure,February,Tuesday
2357872,5000,20 - Design/Construction/Installation/Maintenance Deficiency,2018-02-20T09:38:13,Design/Construction/Maintenance deficiency,February,Tuesday
2357873,3000,52 - Electrical Failure,2018-02-20T17:21:35,Mechanical/Electrical Failure,February,Tuesday
2357875,200,47 - Improper handling of ignition source or ignited material,2018-02-20T23:07:19,Misuse of ignition source/material ignited,February,Tuesday
2357876,0,45 - Improperly Discarded,2018-03-12T14:25:36,Misuse of ignition source/material ignited,March,Monday
2357877,500,45 - Improperly Discarded,2018-03-12T14:30:36,Misuse of ignition source/material ignited,March,Monday
2357880,800,44 - Unattended,2018-03-12T17:44:01,Misuse of ignition source/material ignited,March,Monday
2357881,100,01 - Suspected Arson,2018-03-12T19:15:11,Intentional,March,Monday
2357882,2000,01 - Suspected Arson,2018-03-12T22:24:54,Intentional,March,Monday
2357885,300,45 - Improperly Discarded,2018-03-13T18:38:43,Misuse of ignition source/material ignited,March,Tuesday
2357889,500,44 - Unattended,2018-01-09T17:45:34,Misuse of ignition source/material ignited,January,Tuesday
2357890,10000,44 - Unattended,2018-01-11T07:20:43,Misuse of ignition source/material ignited,January,Thursday
2357892,100000,44 - Unattended,2018-01-05T23:21:43,Misuse of ignition source/material ignited,January,Friday
2357893,2500,52 - Electrical Failure,2018-01-06T11:59:53,Mechanical/Electrical Failure,January,Saturday
2357894,5000,11 - Children Playing (Ages 11 and under),2018-01-06T12:30:04,Unintentional,January,Saturday
2357895,65000,45 - Improperly Discarded,2018-01-06T13:04:27,Misuse of ignition source/material ignited,January,Saturday
2357896,20,03 - Suspected Vandalism,2018-03-19T03:54:22,Intentional,March,Monday
2357897,700,20 - Design/Construction/Installation/Maintenance Deficiency,2018-03-19T10:39:51,Design/Construction/Maintenance deficiency,March,Monday
2357898,2500,51 - Mechanical Failure,2018-03-19T12:41:22,Mechanical/Electrical Failure,March,Monday
2357899,4000,45 - Improperly Discarded,2018-03-19T12:41:23,Misuse of ignition source/material ignited,March,Monday
2357900,2500,45 - Improperly Discarded,2018-03-19T16:29:17,Misuse of ignition source/material ignited,March,Monday
2357902,1000,47 - Improper handling of ignition source or ignited material,2018-03-19T19:34:25,Misuse of ignition source/material ignited,March,Monday
2357903,100,45 - Improperly Discarded,2018-03-19T21:17:23,Misuse of ignition source/material ignited,March,Monday
2357907,150000,52 - Electrical Failure,2018-04-10T13:41:08,Mechanical/Electrical Failure,April,Tuesday
2357913,0,51 - Mechanical Failure,2018-04-11T08:28:30,Mechanical/Electrical Failure,April,Wednesday
2357916,100,01 - Suspected Arson,2018-04-11T21:36:49,Intentional,April,Wednesday
2357922,1000,45 - Improperly Discarded,2018-01-24T22:20:15,Misuse of ignition source/material ignited,January,Wednesday
2357923,2500,44 - Unattended,2018-01-30T18:41:22,Misuse of ignition source/material ignited,January,Tuesday
2357925,3000,44 - Unattended,2018-01-30T09:55:53,Misuse of ignition source/material ignited,January,Tuesday
2357926,250000,52 - Electrical Failure,2018-01-30T19:45:46,Mechanical/Electrical Failure,January,Tuesday
2357927,5000,52 - Electrical Failure,2018-01-31T00:01:03,Mechanical/Electrical Failure,January,Wednesday
2357929,3500,12 - Vehicle Accident/Collision,2018-01-30T09:22:14,Unintentional,January,Tuesday
2357931,500,51 - Mechanical Failure,2018-08-14T07:22:20,Mechanical/Electrical Failure,August,Tuesday
2357933,0,45 - Improperly Discarded,2018-03-14T19:04:31,Misuse of ignition source/material ignited,March,Wednesday
2357934,1000,"28 - Routine maintenance deficiency, eg creosote, lint, grease buildup",2018-03-14T19:41:51,Design/Construction/Maintenance deficiency,March,Wednesday
2357935,1000,47 - Improper handling of ignition source or ignited material,2018-03-15T19:37:57,Misuse of ignition source/material ignited,March,Thursday
2357938,20000,52 - Electrical Failure,2018-04-03T07:19:19,Mechanical/Electrical Failure,April,Tuesday
2357940,8000,46 - Used or Placed too close to combustibles,2018-04-03T14:37:55,Misuse of ignition source/material ignited,April,Tuesday
2357945,50000,45 - Improperly Discarded,2018-02-03T22:27:19,Misuse of ignition source/material ignited,February,Saturday
2357949,8000,47 - Improper handling of ignition source or ignited material,2018-01-26T07:50:04,Misuse of ignition source/material ignited,January,Friday
2357954,100000,50 - Other misuse of ignition source/material ignited,2018-01-25T17:24:44,Misuse of ignition source/material ignitedl,January,Thursday
2357956,0,,2018-08-15T18:14:41,NA,August,Wednesday
2357958,75000,45 - Improperly Discarded,2018-04-16T02:12:49,Misuse of ignition source/material ignited,April,Monday
2357960,10000,52 - Electrical Failure,2018-04-16T06:35:47,Mechanical/Electrical Failure,April,Monday
2357961,5000,47 - Improper handling of ignition source or ignited material,2018-04-17T00:20:03,Misuse of ignition source/material ignited,April,Tuesday
2357962,40000,52 - Electrical Failure,2018-04-17T02:12:28,Mechanical/Electrical Failure,April,Tuesday
2357964,0,44 - Unattended,2018-04-18T16:06:01,Misuse of ignition source/material ignited,April,Wednesday
2357966,1500,52 - Electrical Failure,2018-04-24T13:29:36,Mechanical/Electrical Failure,April,Tuesday
2357967,3000,44 - Unattended,2018-01-21T07:56:43,Misuse of ignition source/material ignited,January,Sunday
2357968,45000,01 - Suspected Arson,2018-01-21T21:37:01,Intentional,January,Sunday
2357969,20000,20 - Design/Construction/Installation/Maintenance Deficiency,2018-01-21T23:42:52,Design/Construction/Maintenance deficiency,January,Sunday
2357972,200,47 - Improper handling of ignition source or ignited material,2018-01-22T16:41:18,Misuse of ignition source/material ignited,January,Monday
2357973,50000,52 - Electrical Failure,2018-03-23T02:06:58,Mechanical/Electrical Failure,March,Friday
2357975,15000,52 - Electrical Failure,2018-03-23T16:33:35,Mechanical/Electrical Failure,March,Friday
2357976,200000,52 - Electrical Failure,2018-03-23T18:59:03,Mechanical/Electrical Failure,March,Friday
2357977,5000,52 - Electrical Failure,2018-02-09T15:48:48,Mechanical/Electrical Failure,February,Friday
2357981,8000,44 - Unattended,2018-02-09T19:19:07,Misuse of ignition source/material ignited,February,Friday
2357984,15000,52 - Electrical Failure,2018-02-10T22:01:07,Mechanical/Electrical Failure,February,Saturday
2357985,65000,12 - Vehicle Accident/Collision,2018-02-10T22:08:39,Unintentional,February,Saturday
2357990,2500,52 - Electrical Failure,2018-03-31T19:14:10,Mechanical/Electrical Failure,March,Saturday
2357993,25000,52 - Electrical Failure,2018-04-01T08:08:55,Mechanical/Electrical Failure,April,Sunday
2358001,100000,47 - Improper handling of ignition source or ignited material,2018-04-02T16:05:48,Misuse of ignition source/material ignited,April,Monday
2358004,50000,52 - Electrical Failure,2018-04-22T05:19:21,Mechanical/Electrical Failure,April,Sunday
2358005,7500,44 - Unattended,2018-04-22T11:13:41,Misuse of ignition source/material ignited,April,Sunday
2358007,200,47 - Improper handling of ignition source or ignited material,2018-04-22T15:01:36,Misuse of ignition source/material ignited,April,Sunday
2358008,35000,51 - Mechanical Failure,2018-04-22T15:10:48,Mechanical/Electrical Failure,April,Sunday
2358011,20000,04 - Suspected Youth Vandalism (Ages 12 to 17),2018-04-22T16:08:39,Intentional,April,Sunday
2358015,10000,51 - Mechanical Failure,2018-04-23T10:05:54,Mechanical/Electrical Failure,April,Monday
2358016,1500,44 - Unattended,2018-02-27T12:24:59,Misuse of ignition source/material ignited,February,Tuesday
2358020,0,49 - Improper Storage,2018-02-27T16:24:05,Misuse of ignition source/material ignitedl,February,Tuesday
2358028,7000,52 - Electrical Failure,2018-01-22T13:21:31,Mechanical/Electrical Failure,January,Monday
2358033,0,47 - Improper handling of ignition source or ignited material,2018-01-18T10:22:34,Misuse of ignition source/material ignited,January,Thursday
2358036,1000,01 - Suspected Arson,2018-01-01T17:00:08,Intentional,January,Monday
2358037,5000,52 - Electrical Failure,2018-01-03T00:01:52,Mechanical/Electrical Failure,January,Wednesday
2358040,2000,52 - Electrical Failure,2018-01-08T14:08:00,Mechanical/Electrical Failure,January,Monday
2358045,500,03 - Suspected Vandalism,2018-01-23T19:22:33,Intentional,January,Tuesday
2358046,0,46 - Used or Placed too close to combustibles,2018-03-14T21:53:53,Misuse of ignition source/material ignited,March,Wednesday
2358048,100000,52 - Electrical Failure,2018-03-15T00:53:53,Mechanical/Electrical Failure,March,Thursday
2358049,500,50 - Other misuse of ignition source/material ignited,2018-03-15T03:27:36,Misuse of ignition source/material ignitedl,March,Thursday
2358050,35000,52 - Electrical Failure,2018-03-15T06:25:38,Mechanical/Electrical Failure,March,Thursday
2358051,20000,52 - Electrical Failure,2018-03-15T09:14:52,Mechanical/Electrical Failure,March,Thursday
2358058,400,52 - Electrical Failure,2018-03-20T06:46:55,Mechanical/Electrical Failure,March,Tuesday
2358059,500,45 - Improperly Discarded,2018-03-20T07:24:02,Misuse of ignition source/material ignited,March,Tuesday
2358060,100000,45 - Improperly Discarded,2018-03-20T08:50:15,Misuse of ignition source/material ignited,March,Tuesday
2358064,100000,52 - Electrical Failure,2018-03-20T23:23:56,Mechanical/Electrical Failure,March,Tuesday
2358065,5000,47 - Improper handling of ignition source or ignited material,2018-03-21T17:33:11,Misuse of ignition source/material ignited,March,Wednesday
2358066,20000,45 - Improperly Discarded,2018-03-22T11:54:59,Misuse of ignition source/material ignited,March,Thursday
2358069,25000,47 - Improper handling of ignition source or ignited material,2018-01-29T19:01:23,Misuse of ignition source/material ignited,January,Monday
2358070,25000,20 - Design/Construction/Installation/Maintenance Deficiency,2018-01-29T17:38:12,Design/Construction/Maintenance deficiency,January,Monday
2358071,500,51 - Mechanical Failure,2018-01-29T15:14:38,Mechanical/Electrical Failure,January,Monday
2358072,15000,48 - Used for purpose not intended,2018-01-29T14:18:34,Misuse of ignition source/material ignited,January,Monday
2358074,2000,44 - Unattended,2018-01-29T08:04:57,Misuse of ignition source/material ignited,January,Monday
2358075,10000,44 - Unattended,2018-01-31T16:25:21,Misuse of ignition source/material ignited,January,Wednesday
2358077,100,52 - Electrical Failure,2018-01-30T11:11:23,Mechanical/Electrical Failure,January,Tuesday
2358078,5000,44 - Unattended,2018-01-30T09:17:01,Misuse of ignition source/material ignited,January,Tuesday
2358080,3000,44 - Unattended,2018-02-04T18:57:42,Misuse of ignition source/material ignited,February,Sunday
2358081,100,"28 - Routine maintenance deficiency, eg creosote, lint, grease buildup",2018-02-04T21:14:29,Design/Construction/Maintenance deficiency,February,Sunday
2358083,0,44 - Unattended,2018-02-05T22:40:59,Misuse of ignition source/material ignited,February,Monday
2358085,10000,52 - Electrical Failure,2018-02-05T03:13:46,Mechanical/Electrical Failure,February,Monday
2358086,5000,45 - Improperly Discarded,2018-03-23T19:28:20,Misuse of ignition source/material ignited,March,Friday
2358087,0,45 - Improperly Discarded,2018-03-23T19:54:52,Misuse of ignition source/material ignited,March,Friday
2358090,5000,44 - Unattended,2018-03-23T21:51:43,Misuse of ignition source/material ignited,March,Friday
2358094,0,03 - Suspected Vandalism,2018-03-24T07:44:14,Intentional,March,Saturday
2358095,150,45 - Improperly Discarded,2018-03-24T08:07:04,Misuse of ignition source/material ignited,March,Saturday
2358098,20000,46 - Used or Placed too close to combustibles,2018-03-24T09:33:30,Misuse of ignition source/material ignited,March,Saturday
2358099,200000,52 - Electrical Failure,2018-02-27T22:31:47,Mechanical/Electrical Failure,February,Tuesday
2358101,30000,52 - Electrical Failure,2018-02-28T06:30:40,Mechanical/Electrical Failure,February,Wednesday
2358106,10,45 - Improperly Discarded,2018-02-28T21:42:01,Misuse of ignition source/material ignited,February,Wednesday
2358109,20,44 - Unattended,2018-03-02T12:14:42,Misuse of ignition source/material ignited,March,Friday
2358111,100,45 - Improperly Discarded,2018-03-02T19:35:44,Misuse of ignition source/material ignited,March,Friday
2358114,1000,11 - Children Playing (Ages 11 and under),2018-03-15T18:17:44,Unintentional,March,Thursday
2358117,5000,52 - Electrical Failure,2018-03-15T22:14:29,Mechanical/Electrical Failure,March,Thursday
2358120,10000,45 - Improperly Discarded,2018-03-16T08:22:48,Misuse of ignition source/material ignited,March,Friday
2358122,1000,46 - Used or Placed too close to combustibles,2018-03-16T18:30:10,Misuse of ignition source/material ignited,March,Friday
2358125,5000,47 - Improper handling of ignition source or ignited material,2018-03-20T15:07:51,Misuse of ignition source/material ignited,March,Tuesday
2358130,5000,01 - Suspected Arson,2018-03-20T21:55:38,Intentional,March,Tuesday
2358131,1000000,01 - Suspected Arson,2018-03-21T04:21:51,Intentional,March,Wednesday
2358132,10000,04 - Suspected Youth Vandalism (Ages 12 to 17),2018-03-21T16:35:25,Intentional,March,Wednesday
2358133,1000,48 - Used for purpose not intended,2018-03-21T19:20:41,Misuse of ignition source/material ignited,March,Wednesday
2358134,10000,47 - Improper handling of ignition source or ignited material,2018-03-21T22:25:50,Misuse of ignition source/material ignited,March,Wednesday
2358136,0,45 - Improperly Discarded,2018-01-31T17:00:19,Misuse of ignition source/material ignited,January,Wednesday
2358137,20,44 - Unattended,2018-02-01T00:46:45,Misuse of ignition source/material ignited,February,Thursday
2358139,5000,20 - Design/Construction/Installation/Maintenance Deficiency,2018-02-02T01:07:24,Design/Construction/Maintenance deficiency,February,Friday
2358141,1000,52 - Electrical Failure,2018-02-02T04:33:53,Mechanical/Electrical Failure,February,Friday
2358146,200000,990 - Under Investigation,2018-02-05T07:58:00,NA,February,Monday
2358150,5000,52 - Electrical Failure,2018-02-05T17:54:16,Mechanical/Electrical Failure,February,Monday
2358152,5000,52 - Electrical Failure,2018-02-05T22:06:33,Mechanical/Electrical Failure,February,Monday
2358153,1000,52 - Electrical Failure,2018-02-06T08:31:17,Mechanical/Electrical Failure,February,Tuesday
2358154,500,51 - Mechanical Failure,2018-02-06T11:38:20,Mechanical/Electrical Failure,February,Tuesday
2358157,5000,52 - Electrical Failure,2018-02-07T09:24:45,Mechanical/Electrical Failure,February,Wednesday
2358164,2000,01 - Suspected Arson,2018-01-09T03:14:41,Intentional,January,Tuesday
2358168,75000,01 - Suspected Arson,2018-02-23T00:12:34,Intentional,February,Friday
2358169,100,52 - Electrical Failure,2018-02-23T00:45:07,Mechanical/Electrical Failure,February,Friday
2358170,40000,44 - Unattended,2018-02-23T01:48:19,Misuse of ignition source/material ignited,February,Friday
2358171,500,45 - Improperly Discarded,2018-02-23T02:36:34,Misuse of ignition source/material ignited,February,Friday
2358176,1000000,45 - Improperly Discarded,2018-03-24T18:02:12,Misuse of ignition source/material ignited,March,Saturday
2358182,20000,20 - Design/Construction/Installation/Maintenance Deficiency,2018-03-25T00:43:36,Design/Construction/Maintenance deficiency,March,Sunday
2358183,5000,44 - Unattended,2018-03-25T14:20:34,Misuse of ignition source/material ignited,March,Sunday
2358184,100000,12 - Vehicle Accident/Collision,2018-03-25T15:50:37,Unintentional,March,Sunday
2358188,25000,52 - Electrical Failure,2018-01-19T12:02:13,Mechanical/Electrical Failure,January,Friday
2358189,1000,49 - Improper Storage,2018-01-22T23:59:37,Misuse of ignition source/material ignitedl,January,Monday
2358190,0,45 - Improperly Discarded,2018-01-24T18:57:21,Misuse of ignition source/material ignited,January,Wednesday
2358191,0,52 - Electrical Failure,2018-01-11T13:17:22,Mechanical/Electrical Failure,January,Thursday
2358192,8000,47 - Improper handling of ignition source or ignited material,2018-01-19T15:26:49,Misuse of ignition source/material ignited,January,Friday
2358193,0,46 - Used or Placed too close to combustibles,2018-01-23T23:27:34,Misuse of ignition source/material ignited,January,Tuesday
2358194,3000,44 - Unattended,2018-01-24T11:33:29,Misuse of ignition source/material ignited,January,Wednesday
2358199,0,51 - Mechanical Failure,2018-01-07T01:00:15,Mechanical/Electrical Failure,January,Sunday
2358200,0,"28 - Routine maintenance deficiency, eg creosote, lint, grease buildup",2018-01-07T03:05:57,Design/Construction/Maintenance deficiency,January,Sunday
2358202,200000,"28 - Routine maintenance deficiency, eg creosote, lint, grease buildup",2018-01-07T22:32:22,Design/Construction/Maintenance deficiency,January,Sunday
2358204,5000,52 - Electrical Failure,2018-01-08T00:20:41,Mechanical/Electrical Failure,January,Monday
2358208,10000,20 - Design/Construction/Installation/Maintenance Deficiency,2018-02-12T07:12:24,Design/Construction/Maintenance deficiency,February,Monday
2358209,20000,52 - Electrical Failure,2018-02-12T09:01:02,Mechanical/Electrical Failure,February,Monday
